id,prescriber_last_name,prescriber_first_name,drug_name,drug_cost
1336172998,AAMODT,DENISE,LACTULOSE,339.52
1336172998,AAMODT,DENISE,VENTOLIN HFA,2677.54
1336172998,AAMODT,DENISE,VERAPAMIL ER,208.88
1336172998,AAMODT,DENISE,VERAPAMIL HCL,1367.92
1336172998,AAMODT,DENISE,VERAPAMIL SR,527.97
1336172998,AAMODT,DENISE,VESICARE,7673.12
1336172998,AAMODT,DENISE,VICTOZA 3-PAK,28351.58
1336172998,AAMODT,DENISE,WELCHOL,10749.71
1336172998,AAMODT,DENISE,XARELTO,4911.61
1336172998,AAMODT,DENISE,ZETIA,10233.74
1336172998,AAMODT,DENISE,ZOLPIDEM TARTRATE,457.57
1336172998,AAMODT,DENISE,ZONISAMIDE,1161.73
1578964300,AAMODT,KILEE,IBUPROFEN,56.39
1497746051,AAMODT,LEONARD,ACYCLOVIR,306.29
1386649341,AANESTAD,JENNIFER,CLONAZEPAM,164.28
1386649341,AANESTAD,JENNIFER,DONEPEZIL HCL,898.51
1386649341,AANESTAD,JENNIFER,FAMOTIDINE,119.0
1386649341,AANESTAD,JENNIFER,FLUOXETINE HCL,443.31
1386649341,AANESTAD,JENNIFER,FLUTICASONE PROPIONATE,411.28
1386649341,AANESTAD,JENNIFER,FUROSEMIDE,226.57
1386649341,AANESTAD,JENNIFER,GABAPENTIN,1164.83
1386649341,AANESTAD,JENNIFER,HYDROCHLOROTHIAZIDE,251.79
1386649341,AANESTAD,JENNIFER,HYDROCODONE-ACETAMINOPHEN,229.68
1386649341,AANESTAD,JENNIFER,IBUPROFEN,118.6
1386649341,AANESTAD,JENNIFER,ISOSORBIDE MONONITRATE ER,132.61
1386649341,AANESTAD,JENNIFER,KLOR-CON M20,195.75
1386649341,AANESTAD,JENNIFER,LEVOTHYROXINE SODIUM,2987.77
1386649341,AANESTAD,JENNIFER,LISINOPRIL,1225.56
1386649341,AANESTAD,JENNIFER,LISINOPRIL-HYDROCHLOROTHIAZIDE,254.02
1386649341,AANESTAD,JENNIFER,LORAZEPAM,132.02
1386649341,AANESTAD,JENNIFER,LOSARTAN POTASSIUM,162.61
1386649341,AANESTAD,JENNIFER,LOVASTATIN,607.55
1386649341,AANESTAD,JENNIFER,MELOXICAM,116.67
1386649341,AANESTAD,JENNIFER,METFORMIN HCL,506.13
1629184635,ABADCO,DOREEN,MORPHINE SULFATE,364.96
1629184635,ABADCO,DOREEN,MORPHINE SULFATE ER,13708.72
1629184635,ABADCO,DOREEN,OXYCODONE HCL,851.99
1629184635,ABADCO,DOREEN,OXYCODONE-ACETAMINOPHEN,3056.24
1629184635,ABADCO,DOREEN,OXYCONTIN,19017.65
1629184635,ABADCO,DOREEN,PAROXETINE HCL,73.9
1629184635,ABADCO,DOREEN,POLYETHYLENE GLYCOL 3350,1206.8
1629184635,ABADCO,DOREEN,ROPINIROLE HCL,48.56
1629184635,ABADCO,DOREEN,SUMATRIPTAN SUCCINATE,589.86
1629184635,ABADCO,DOREEN,TIZANIDINE HCL,595.17
1629184635,ABADCO,DOREEN,TRAMADOL HCL,246.8
1629184635,ABADCO,DOREEN,TRAZODONE HCL,663.99
1629184635,ABADCO,DOREEN,VOLTAREN,1331.44
1629184635,ABADCO,DOREEN,ZOLPIDEM TARTRATE,274.04
1518252220,ABADCO,DUSTIN,ATORVASTATIN CALCIUM,715.95
1518252220,ABADCO,DUSTIN,CARVEDILOL,164.08
1518252220,ABADCO,DUSTIN,FUROSEMIDE,97.62
